Blg         	0.184	0.216	0.231	0.211	0.263	0.231	0.231	0.222	0.237	0.237	0.189	0.162	0.189	0.194	0.184	0.189	0.211	0.184	0.0	0.154	0.154	0.185	0.154	0.231	0.231	0.308	0.269	0.214	0.32	0.32	0.438	0.438	0.316	0.263	0.306	0.306	0.424	0.5	0.357	0.407	0.458	0.435	0.458	0.522	0.522	0.522	0.5	0.435	0.458	0.458	0.458	0.44	0.333	0.364	0.567	0.433	0.375	0.375
SC         	0.241	0.241	0.241	0.25	0.31	0.25	0.286	0.214	0.179	0.179	0.222	0.185	0.222	0.143	0.185	0.143	0.185	0.185	0.154	0.0	0.034	0.1	0.069	0.214	0.214	0.286	0.25	0.267	0.333	0.333	0.471	0.471	0.35	0.3	0.259	0.296	0.458	0.4	0.3	0.357	0.36	0.4	0.444	0.417	0.417	0.417	0.4	0.333	0.36	0.36	0.36	0.444	0.355	0.333	0.583	0.393	0.308	0.308
Slo         	0.241	0.241	0.241	0.25	0.31	0.25	0.286	0.214	0.179	0.179	0.222	0.185	0.222	0.143	0.185	0.143	0.185	0.185	0.154	0.034	0.0	0.1	0.069	0.214	0.214	0.286	0.25	0.267	0.333	0.333	0.471	0.471	0.35	0.3	0.259	0.296	0.458	0.4	0.3	0.357	0.36	0.4	0.444	0.417	0.417	0.417	0.4	0.333	0.36	0.36	0.36	0.444	0.355	0.333	0.583	0.393	0.308	0.308
Po         	0.207	0.207	0.207	0.214	0.31	0.214	0.286	0.214	0.179	0.179	0.222	0.185	0.222	0.179	0.185	0.179	0.185	0.185	0.185	0.1	0.1	0.0	0.069	0.214	0.214	0.286	0.25	0.267	0.333	0.333	0.471	0.471	0.35	0.3	0.259	0.296	0.458	0.4	0.3	0.357	0.36	0.4	0.444	0.417	0.417	0.417	0.4	0.333	0.36	0.36	0.36	0.444	0.355	0.333	0.583	0.393	0.308	0.308
Rus         	0.241	0.241	0.241	0.25	0.31	0.25	0.286	0.214	0.179	0.179	0.222	0.185	0.222	0.179	0.185	0.179	0.185	0.185	0.154	0.069	0.069	0.069	0.0	0.214	0.214	0.286	0.25	0.267	0.333	0.333	0.471	0.471	0.35	0.3	0.259	0.296	0.458	0.4	0.3	0.357	0.36	0.4	0.444	0.417	0.417	0.417	0.4	0.333	0.36	0.36	0.36	0.444	0.355	0.333	0.583	0.393	0.308	0.308
Ir         	0.25	0.275	0.3	0.282	0.243	0.282	0.316	0.231	0.244	0.244	0.205	0.205	0.231	0.184	0.237	0.194	0.237	0.237	0.231	0.214	0.214	0.214	0.214	0.0	0.026	0.333	0.296	0.241	0.346	0.346	0.438	0.438	0.368	0.316	0.27	0.243	0.324	0.44	0.276	0.357	0.4	0.375	0.5	0.542	0.542	0.542	0.44	0.435	0.4	0.4	0.4	0.423	0.371	0.353	0.516	0.419	0.28	0.28
Wel         	0.25	0.275	0.3	0.282	0.243	0.282	0.316	0.231	0.244	0.244	0.205	0.205	0.231	0.184	0.237	0.194	0.237	0.237	0.231	0.214	0.214	0.214	0.214	0.026	0.0	0.333	0.296	0.241	0.346	0.346	0.438	0.438	0.368	0.316	0.27	0.243	0.324	0.44	0.276	0.357	0.4	0.375	0.5	0.542	0.542	0.542	0.44	0.435	0.4	0.4	0.4	0.423	0.371	0.353	0.516	0.419	0.28	0.28
Ma         	0.286	0.286	0.286	0.269	0.259	0.296	0.296	0.321	0.296	0.296	0.308	0.269	0.308	0.308	0.269	0.308	0.269	0.269	0.308	0.286	0.286	0.286	0.286	0.333	0.333	0.0	0.08	0.185	0.24	0.24	0.312	0.312	0.316	0.35	0.333	0.375	0.545	0.409	0.357	0.4	0.364	0.333	0.36	0.364	0.364	0.364	0.348	0.318	0.304	0.304	0.304	0.32	0.31	0.286	0.583	0.417	0.292	0.292
Hi         	0.25	0.25	0.25	0.231	0.222	0.259	0.259	0.286	0.259	0.259	0.269	0.231	0.269	0.269	0.231	0.269	0.231	0.231	0.269	0.25	0.25	0.25	0.25	0.296	0.296	0.08	0.0	0.214	0.24	0.24	0.25	0.25	0.35	0.3	0.292	0.333	0.5	0.435	0.321	0.423	0.391	0.364	0.36	0.364	0.364	0.364	0.348	0.318	0.304	0.304	0.304	0.32	0.333	0.31	0.542	0.44	0.292	0.292
Pas         	0.233	0.233	0.233	0.179	0.179	0.207	0.207	0.241	0.214	0.214	0.214	0.179	0.214	0.214	0.179	0.214	0.179	0.179	0.214	0.267	0.267	0.267	0.267	0.241	0.241	0.185	0.214	0.0	0.296	0.296	0.353	0.353	0.263	0.3	0.308	0.346	0.542	0.417	0.333	0.333	0.417	0.391	0.444	0.417	0.417	0.417	0.4	0.375	0.36	0.36	0.36	0.37	0.3	0.276	0.577	0.423	0.385	0.385
Ta         	0.346	0.346	0.346	0.36	0.37	0.36	0.36	0.423	0.423	0.423	0.32	0.28	0.32	0.32	0.28	0.32	0.28	0.28	0.32	0.333	0.333	0.333	0.333	0.346	0.346	0.24	0.24	0.296	0.0	0.043	0.375	0.375	0.4	0.4	0.375	0.348	0.545	0.435	0.37	0.44	0.391	0.364	0.375	0.409	0.409	0.409	0.391	0.318	0.348	0.348	0.348	0.304	0.345	0.321	0.667	0.462	0.25	0.25
Te         	0.346	0.346	0.346	0.36	0.37	0.36	0.36	0.423	0.423	0.423	0.32	0.28	0.32	0.32	0.28	0.32	0.28	0.28	0.32	0.333	0.333	0.333	0.333	0.346	0.346	0.24	0.24	0.296	0.043	0.0	0.375	0.375	0.4	0.4	0.375	0.348	0.545	0.435	0.37	0.44	0.391	0.364	0.375	0.409	0.409	0.409	0.391	0.318	0.348	0.348	0.348	0.304	0.345	0.321	0.667	0.462	0.25	0.25
Man         	0.412	0.412	0.412	0.375	0.312	0.412	0.412	0.412	0.375	0.375	0.375	0.375	0.375	0.438	0.375	0.438	0.375	0.375	0.438	0.471	0.471	0.471	0.471	0.438	0.438	0.312	0.25	0.353	0.375	0.375	0.0	0.133	0.438	0.375	0.467	0.467	0.5	0.533	0.375	0.533	0.5	0.5	0.467	0.5	0.5	0.5	0.429	0.5	0.429	0.429	0.429	0.438	0.412	0.412	0.385	0.571	0.467	0.467
Can         	0.412	0.412	0.412	0.375	0.312	0.412	0.412	0.412	0.375	0.375	0.375	0.375	0.375	0.438	0.375	0.438	0.375	0.375	0.438	0.471	0.471	0.471	0.471	0.438	0.438	0.312	0.25	0.353	0.375	0.375	0.133	0.0	0.438	0.375	0.467	0.467	0.5	0.533	0.375	0.533	0.5	0.5	0.467	0.5	0.5	0.5	0.429	0.5	0.429	0.429	0.429	0.438	0.412	0.412	0.385	0.571	0.467	0.467
Jap         	0.35	0.35	0.35	0.316	0.316	0.35	0.4	0.4	0.368	0.368	0.316	0.316	0.316	0.368	0.316	0.368	0.316	0.316	0.316	0.35	0.35	0.35	0.35	0.368	0.368	0.316	0.35	0.263	0.4	0.4	0.438	0.438	0.0	0.143	0.389	0.444	0.588	0.471	0.368	0.389	0.471	0.471	0.45	0.556	0.556	0.556	0.444	0.412	0.444	0.444	0.444	0.476	0.263	0.263	0.688	0.412	0.5	0.5
Kor         	0.3	0.3	0.3	0.263	0.263	0.3	0.35	0.35	0.316	0.316	0.263	0.263	0.263	0.316	0.263	0.316	0.263	0.263	0.263	0.3	0.3	0.3	0.3	0.316	0.316	0.35	0.3	0.3	0.4	0.4	0.375	0.375	0.143	0.0	0.333	0.389	0.529	0.5	0.316	0.421	0.5	0.5	0.45	0.556	0.556	0.556	0.444	0.412	0.444	0.444	0.444	0.476	0.3	0.3	0.625	0.444	0.5	0.5
Ar         	0.289	0.316	0.316	0.378	0.333	0.351	0.371	0.308	0.31	0.31	0.306	0.333	0.333	0.333	0.371	0.371	0.371	0.371	0.306	0.259	0.259	0.259	0.259	0.27	0.27	0.333	0.292	0.308	0.375	0.375	0.467	0.467	0.389	0.333	0.0	0.179	0.394	0.478	0.296	0.36	0.435	0.409	0.458	0.522	0.522	0.522	0.478	0.435	0.435	0.435	0.435	0.435	0.382	0.364	0.484	0.375	0.375	0.375
Heb         	0.263	0.289	0.289	0.351	0.286	0.324	0.343	0.282	0.326	0.326	0.278	0.306	0.306	0.306	0.343	0.343	0.343	0.343	0.306	0.296	0.296	0.296	0.296	0.243	0.243	0.375	0.333	0.346	0.348	0.348	0.467	0.467	0.444	0.389	0.179	0.0	0.333	0.478	0.333	0.4	0.435	0.409	0.5	0.522	0.522	0.522	0.478	0.435	0.435	0.435	0.435	0.409	0.412	0.394	0.5	0.355	0.375	0.375
