58
Ud         	0.455	0.455	0.455	0.455	0.5	0.455	0.5	0.478	0.478	0.478	0.364	0.409	0.364	0.409	0.409	0.409	0.409	0.409	0.409	0.375	0.375	0.375	0.375	0.348	0.348	0.3	0.333	0.364	0.333	0.333	0.462	0.462	0.438	0.471	0.381	0.381	0.273	0.217	0.174	0.174	0.048	0.0	0.3	0.273	0.273	0.273	0.25	0.227	0.208	0.208	0.208	0.217	0.273	0.318	0.6	0.32	0.348	0.348
Yu         	0.4	0.4	0.4	0.458	0.48	0.417	0.458	0.5	0.538	0.538	0.391	0.435	0.391	0.478	0.435	0.478	0.435	0.435	0.435	0.423	0.423	0.423	0.423	0.478	0.478	0.333	0.333	0.423	0.348	0.348	0.429	0.429	0.421	0.421	0.435	0.478	0.5	0.381	0.333	0.348	0.333	0.3	0.0	0.364	0.364	0.364	0.318	0.238	0.273	0.273	0.273	0.217	0.28	0.32	0.571	0.44	0.409	0.409
Ev1         	0.478	0.478	0.478	0.455	0.478	0.478	0.522	0.435	0.409	0.409	0.455	0.5	0.455	0.5	0.5	0.5	0.5	0.5	0.5	0.391	0.391	0.391	0.391	0.522	0.522	0.333	0.333	0.391	0.381	0.381	0.462	0.462	0.529	0.529	0.5	0.5	0.333	0.304	0.318	0.304	0.227	0.273	0.364	0.0	0.0	0.0	0.174	0.136	0.13	0.13	0.13	0.25	0.417	0.458	0.619	0.32	0.409	0.409
Ev2         	0.478	0.478	0.478	0.455	0.478	0.478	0.522	0.435	0.409	0.409	0.455	0.5	0.455	0.5	0.5	0.5	0.5	0.5	0.5	0.391	0.391	0.391	0.391	0.522	0.522	0.333	0.333	0.391	0.381	0.381	0.462	0.462	0.529	0.529	0.5	0.5	0.333	0.304	0.318	0.304	0.227	0.273	0.364	0.0	0.0	0.0	0.174	0.136	0.13	0.13	0.13	0.25	0.417	0.458	0.619	0.32	0.409	0.409
Ek         	0.478	0.478	0.478	0.455	0.478	0.478	0.522	0.435	0.409	0.409	0.455	0.5	0.455	0.5	0.5	0.5	0.5	0.5	0.5	0.391	0.391	0.391	0.391	0.522	0.522	0.333	0.333	0.391	0.381	0.381	0.462	0.462	0.529	0.529	0.5	0.5	0.333	0.304	0.318	0.304	0.227	0.273	0.364	0.0	0.0	0.0	0.174	0.136	0.13	0.13	0.13	0.25	0.417	0.458	0.619	0.32	0.409	0.409
Ya         	0.458	0.458	0.458	0.435	0.458	0.458	0.5	0.417	0.391	0.391	0.435	0.478	0.435	0.478	0.478	0.478	0.478	0.478	0.478	0.375	0.375	0.375	0.375	0.417	0.417	0.318	0.318	0.375	0.364	0.364	0.385	0.385	0.412	0.412	0.455	0.455	0.227	0.13	0.292	0.28	0.208	0.25	0.318	0.174	0.174	0.174	0.0	0.091	0.042	0.042	0.042	0.16	0.375	0.417	0.619	0.28	0.304	0.304
Uz         	0.435	0.435	0.435	0.409	0.435	0.435	0.478	0.391	0.364	0.364	0.364	0.409	0.364	0.409	0.409	0.409	0.409	0.409	0.409	0.304	0.304	0.304	0.304	0.409	0.409	0.286	0.286	0.348	0.286	0.286	0.462	0.462	0.375	0.375	0.409	0.409	0.286	0.182	0.273	0.261	0.182	0.227	0.238	0.136	0.136	0.136	0.091	0.0	0.045	0.045	0.045	0.174	0.333	0.375	0.619	0.24	0.286	0.286
Kaz         	0.417	0.417	0.417	0.391	0.417	0.417	0.458	0.375	0.348	0.348	0.391	0.435	0.391	0.435	0.435	0.435	0.435	0.435	0.435	0.333	0.333	0.333	0.333	0.375	0.375	0.273	0.273	0.333	0.318	0.318	0.385	0.385	0.412	0.412	0.409	0.409	0.261	0.167	0.25	0.24	0.167	0.208	0.273	0.13	0.13	0.13	0.042	0.045	0.0	0.0	0.0	0.12	0.333	0.375	0.571	0.24	0.261	0.261
Kyr         	0.417	0.417	0.417	0.391	0.417	0.417	0.458	0.375	0.348	0.348	0.391	0.435	0.391	0.435	0.435	0.435	0.435	0.435	0.435	0.333	0.333	0.333	0.333	0.375	0.375	0.273	0.273	0.333	0.318	0.318	0.385	0.385	0.412	0.412	0.409	0.409	0.261	0.167	0.25	0.24	0.167	0.208	0.273	0.13	0.13	0.13	0.042	0.045	0.0	0.0	0.0	0.12	0.333	0.375	0.571	0.24	0.261	0.261
Tur         	0.417	0.417	0.417	0.391	0.417	0.417	0.458	0.375	0.348	0.348	0.391	0.435	0.391	0.435	0.435	0.435	0.435	0.435	0.435	0.333	0.333	0.333	0.333	0.375	0.375	0.273	0.273	0.333	0.318	0.318	0.385	0.385	0.412	0.412	0.409	0.409	0.261	0.167	0.25	0.24	0.167	0.208	0.273	0.13	0.13	0.13	0.042	0.045	0.0	0.0	0.0	0.12	0.333	0.375	0.571	0.24	0.261	0.261
Bur         	0.36	0.36	0.36	0.4	0.423	0.36	0.4	0.423	0.462	0.462	0.375	0.417	0.375	0.458	0.417	0.458	0.417	0.417	0.417	0.423	0.423	0.423	0.423	0.4	0.4	0.292	0.292	0.346	0.273	0.273	0.4	0.4	0.45	0.45	0.409	0.381	0.348	0.25	0.28	0.231	0.25	0.217	0.217	0.25	0.25	0.25	0.16	0.174	0.12	0.12	0.12	0.0	0.32	0.36	0.524	0.346	0.304	0.304
cB         	0.343	0.324	0.343	0.312	0.353	0.333	0.344	0.4	0.4	0.4	0.273	0.281	0.25	0.312	0.312	0.344	0.312	0.312	0.312	0.333	0.333	0.333	0.333	0.353	0.353	0.286	0.31	0.276	0.321	0.321	0.375	0.375	0.222	0.263	0.364	0.394	0.467	0.348	0.25	0.28	0.304	0.273	0.28	0.417	0.417	0.417	0.375	0.333	0.333	0.333	0.333	0.32	0.0	0.094	0.552	0.355	0.385	0.385
